X: 589, Y: 1136, Z: -38
X: 589, Y: 1136, Z: -38
X: 589, Y: 1136, Z: -38
X: 589, Y: 1136, Z: -38
X: 589, Y: 1136, Z: -38
X: 548, Y: 1159, Z: -58
X: 548, Y: 1159, Z: -58
X: 548, Y: 1159, Z: -58
X: 548, Y: 1159, Z: -58
X: 548, Y: 1159, Z: -58
X: 488, Y: 1207, Z: -71
X: 488, Y: 1207, Z: -71
X: 488, Y: 1207, Z: -71
X: 488, Y: 1207, Z: -71
X: 488, Y: 1207, Z: -71
X: 381, Y: 1243, Z: -77
X: 381, Y: 1243, Z: -77
X: 381, Y: 1243, Z: -77
X: 381, Y: 1243, Z: -77
X: 381, Y: 1243, Z: -77
X: 286, Y: 1255, Z: -25
X: 286, Y: 1255, Z: -25
X: 286, Y: 1255, Z: -25
X: 286, Y: 1255, Z: -25
X: 286, Y: 1255, Z: -25
X: 215, Y: 1249, Z: 25
X: 215, Y: 1249, Z: 25
X: 215, Y: 1249, Z: 25
X: 215, Y: 1249, Z: 25
X: 215, Y: 1249, Z: 25
X: 143, Y: 1249, Z: 77
X: 143, Y: 1249, Z: 77
X: 143, Y: 1249, Z: 77
X: 143, Y: 1249, Z: 77
X: 143, Y: 1249, Z: 77
X: 90, Y: 1249, Z: 96
X: 90, Y: 1249, Z: 96
X: 90, Y: 1249, Z: 96
X: 90, Y: 1249, Z: 96
X: 90, Y: 1249, Z: 96
X: 54, Y: 1266, Z: 51
X: 54, Y: 1266, Z: 51
X: 54, Y: 1266, Z: 51
X: 54, Y: 1266, Z: 51
X: 54, Y: 1266, Z: 51
X: 6, Y: 1255, Z: 109
X: 6, Y: 1255, Z: 109
X: 6, Y: 1255, Z: 109
X: 6, Y: 1255, Z: 109
X: 6, Y: 1255, Z: 109
X: -23, Y: 1225, Z: 155
X: -23, Y: 1225, Z: 155
X: -23, Y: 1225, Z: 155
X: -23, Y: 1225, Z: 155
X: -23, Y: 1225, Z: 155
X: -29, Y: 1231, Z: 148
X: -29, Y: 1231, Z: 148
X: -29, Y: 1231, Z: 148
X: -29, Y: 1231, Z: 148
X: -29, Y: 1231, Z: 148
X: -35, Y: 1231, Z: 129
X: -35, Y: 1231, Z: 129
X: -35, Y: 1231, Z: 129
X: -35, Y: 1231, Z: 129
X: -35, Y: 1231, Z: 129
X: -29, Y: 1231, Z: 155
X: -29, Y: 1231, Z: 155
X: -29, Y: 1231, Z: 155
X: -29, Y: 1231, Z: 155
X: -29, Y: 1231, Z: 155
X: -29, Y: 1231, Z: 200
X: -29, Y: 1231, Z: 200
X: -29, Y: 1231, Z: 200
X: -29, Y: 1231, Z: 200
X: -29, Y: 1231, Z: 200
X: -35, Y: 1219, Z: 258
X: -35, Y: 1219, Z: 258
X: -35, Y: 1219, Z: 258
X: -35, Y: 1219, Z: 258
X: -35, Y: 1219, Z: 258
X: -23, Y: 1189, Z: 252
X: -23, Y: 1189, Z: 252
X: -23, Y: 1189, Z: 252
X: -23, Y: 1189, Z: 252
X: -23, Y: 1189, Z: 252
X: -89, Y: 1159, Z: 336
X: -89, Y: 1159, Z: 336
X: -89, Y: 1159, Z: 336
X: -89, Y: 1159, Z: 336
X: -89, Y: 1159, Z: 336
X: -65, Y: 1159, Z: 368
X: -65, Y: 1159, Z: 368
X: -65, Y: 1159, Z: 368
X: -65, Y: 1159, Z: 368
X: -65, Y: 1159, Z: 368
X: -71, Y: 1154, Z: 368
X: -71, Y: 1154, Z: 368
X: -71, Y: 1154, Z: 368
X: -71, Y: 1154, Z: 368
X: -71, Y: 1154, Z: 413
X: -77, Y: 1118, Z: 413
X: -77, Y: 1118, Z: 413
X: -77, Y: 1118, Z: 413
X: -77, Y: 1118, Z: 413
X: -77, Y: 1118, Z: 433
X: -83, Y: 1106, Z: 433
X: -83, Y: 1106, Z: 433
X: -83, Y: 1106, Z: 433
X: -83, Y: 1106, Z: 433
X: -83, Y: 1106, Z: 478
X: -77, Y: 1082, Z: 478
X: -77, Y: 1082, Z: 478
X: -77, Y: 1082, Z: 478
X: -77, Y: 1082, Z: 478
X: -77, Y: 1082, Z: 562
X: -95, Y: 1058, Z: 562
X: -95, Y: 1058, Z: 562
X: -95, Y: 1058, Z: 562
X: -95, Y: 1058, Z: 562
X: -95, Y: 1058, Z: 581
X: -89, Y: 1005, Z: 581
X: -89, Y: 1005, Z: 581
X: -89, Y: 1005, Z: 581
X: -89, Y: 1005, Z: 581
X: -89, Y: 1005, Z: 639
X: -77, Y: 975, Z: 639
X: -77, Y: 975, Z: 639
X: -77, Y: 975, Z: 639
X: -77, Y: 975, Z: 639
X: -77, Y: 975, Z: 659
X: -71, Y: 921, Z: 659
X: -71, Y: 921, Z: 659
X: -71, Y: 921, Z: 659
X: -71, Y: 921, Z: 659
X: -71, Y: 820, Z: 749
X: -35, Y: 820, Z: 749
X: -35, Y: 820, Z: 749
X: -35, Y: 820, Z: 749
X: -35, Y: 820, Z: 749
X: -35, Y: 761, Z: 795
X: -83, Y: 761, Z: 795
X: -83, Y: 761, Z: 795
X: -83, Y: 761, Z: 795
X: -83, Y: 761, Z: 795
X: -83, Y: 630, Z: 872
X: -71, Y: 630, Z: 872
X: -71, Y: 630, Z: 872
X: -71, Y: 630, Z: 872
X: -71, Y: 630, Z: 872
X: -71, Y: 565, Z: 898
X: -95, Y: 565, Z: 898
X: -95, Y: 565, Z: 898
X: -95, Y: 565, Z: 898
X: -95, Y: 565, Z: 898
X: -95, Y: 487, Z: 911
X: -107, Y: 487, Z: 911
X: -107, Y: 487, Z: 911
X: -107, Y: 487, Z: 911
X: -107, Y: 487, Z: 911
X: -107, Y: 368, Z: 956
X: -107, Y: 368, Z: 956
X: -107, Y: 368, Z: 956
X: -107, Y: 368, Z: 956
X: -107, Y: 368, Z: 956
X: -107, Y: 315, Z: 943
X: -113, Y: 315, Z: 943
X: -113, Y: 315, Z: 943
X: -113, Y: 315, Z: 943
X: -113, Y: 315, Z: 943
X: -136, Y: 291, Z: 937
X: -136, Y: 291, Z: 937
X: -136, Y: 291, Z: 937
X: -136, Y: 291, Z: 937
X: -136, Y: 291, Z: 937
X: -130, Y: 249, Z: 943
X: -130, Y: 249, Z: 943
X: -130, Y: 249, Z: 943
X: -130, Y: 249, Z: 943
X: -130, Y: 249, Z: 943
X: -130, Y: 172, Z: 930
X: -130, Y: 172, Z: 930
X: -130, Y: 172, Z: 930
X: -130, Y: 172, Z: 930
X: -130, Y: 172, Z: 930
X: -124, Y: 118, Z: 937
X: -124, Y: 118, Z: 937
X: -124, Y: 118, Z: 937
X: -124, Y: 118, Z: 937
X: -124, Y: 118, Z: 937
X: -136, Y: 41, Z: 911
X: -136, Y: 41, Z: 911
X: -136, Y: 41, Z: 911
X: -136, Y: 41, Z: 911
X: -136, Y: 41, Z: 911
X: -101, Y: -42, Z: 885
X: -101, Y: -42, Z: 885
X: -101, Y: -42, Z: 885
X: -101, Y: -42, Z: 885
X: -101, Y: -42, Z: 885
X: -101, Y: -90, Z: 859
X: -101, Y: -90, Z: 859
X: -101, Y: -90, Z: 859
X: -101, Y: -90, Z: 859
X: -101, Y: -90, Z: 859
X: -101, Y: -114, Z: 846
X: -101, Y: -114, Z: 846
X: -101, Y: -114, Z: 846
X: -101, Y: -114, Z: 846
X: -101, Y: -114, Z: 846
X: -113, Y: -191, Z: 814
X: -113, Y: -191, Z: 814
X: -113, Y: -191, Z: 814
X: -113, Y: -191, Z: 814
X: -113, Y: -191, Z: 814
X: -95, Y: -250, Z: 788
X: -95, Y: -250, Z: 788
X: -95, Y: -250, Z: 788
X: -95, Y: -250, Z: 788
X: -95, Y: -250, Z: 788
X: -95, Y: -292, Z: 769
X: -95, Y: -292, Z: 769
X: -95, Y: -292, Z: 769
X: -95, Y: -292, Z: 769
X: -95, Y: -292, Z: 769
X: -65, Y: -369, Z: 730
X: -65, Y: -369, Z: 730
X: -65, Y: -369, Z: 730
X: -65, Y: -369, Z: 730
X: -65, Y: -369, Z: 730
X: -95, Y: -393, Z: 685
X: -95, Y: -393, Z: 685
X: -95, Y: -393, Z: 685
X: -95, Y: -393, Z: 685
X: -95, Y: -393, Z: 685
X: -95, Y: -411, Z: 672
X: -95, Y: -411, Z: 672
X: -95, Y: -411, Z: 672
X: -95, Y: -411, Z: 672
X: -95, Y: -411, Z: 672
X: -77, Y: -453, Z: 620
X: -77, Y: -453, Z: 620
X: -77, Y: -453, Z: 620
X: -77, Y: -453, Z: 620
X: -77, Y: -453, Z: 620
X: -83, Y: -470, Z: 575
X: -83, Y: -470, Z: 575
X: -83, Y: -470, Z: 575
X: -83, Y: -470, Z: 575
X: -83, Y: -470, Z: 575
X: -83, Y: -542, Z: 497
X: -83, Y: -542, Z: 497
X: -83, Y: -542, Z: 497
